Date,Open,High,Low,Close,Adj Close,Volume
2019-08-15,37.5,38.029999,36.110001000000004,36.310001,36.240402,10076700.0
2019-08-16,37.59,37.849998,36.400002,37.560001,37.488007,8958600.0
2019-08-19,38.07,38.200001,37.299999,37.830002,37.757488,5789500.0
2019-08-20,37.650002,37.68,36.209998999999996,36.529999,36.459976,10335600.0
2019-08-21,36.77,37.220001,36.540001000000004,36.540001000000004,36.469959,6381100.0
2019-08-22,36.700001,36.900002,34.279999,34.43,34.364002,13206600.0
2019-08-23,33.650002,34.98,32.98,33.779999,33.715247999999995,16599800.0
2019-08-26,34.849998,35.0,33.25,33.700001,33.635403000000004,9653400.0
2019-08-27,34.259997999999996,34.93,33.82,34.209998999999996,34.144424,13015100.0
2019-08-28,34.009997999999996,34.98,33.5,34.91,34.843082,11048900.0
2019-08-29,35.59,37.259997999999996,35.349998,37.259997999999996,37.188576,13966500.0
2019-08-30,37.599998,37.93,35.91,36.290001000000004,36.22044,11111400.0
2019-09-02,36.5,36.939999,36.080002,36.610001000000004,36.539825,6832200.0
2019-09-03,36.279999,37.380001,35.779999,35.880001,35.811226,7398000.0
2019-09-04,36.66,37.200001,36.349998,37.200001,37.128696000000005,7856200.0
2019-09-05,37.5,37.790001000000004,36.650002,36.700001,36.629653999999995,7157900.0
2019-09-06,36.98,37.060001,35.849998,36.0,35.930996,7881600.0
2019-09-09,36.09,36.16,33.509997999999996,34.200001,34.134445,14356800.0
2019-09-10,33.0,33.310001,31.629998999999998,32.5,32.437702,24012600.0
2019-09-11,33.700001,34.650002,33.150002,34.599998,34.533676,16414500.0
2019-09-12,35.0,35.389998999999996,33.880001,35.0,34.932911,12629300.0
2019-09-13,35.220001,35.27,34.049999,34.099998,34.034634000000004,7778800.0
2019-09-16,33.799999,34.869999,32.77,34.869999,34.803158,10675200.0
2019-09-17,34.139998999999996,35.18,33.830002,34.849998,34.783195,10363900.0
2019-09-18,34.5,35.200001,34.450001,35.060001,34.992798,6393800.0
2019-09-19,35.400002,36.349998,35.400002,35.810001,35.74136,11576000.0
2019-09-20,35.939999,36.560001,35.450001,36.560001,36.489922,10679600.0
2019-09-23,36.580002,36.580002,35.740002000000004,35.990002000000004,35.921017,6168400.0
2019-09-24,36.099998,37.0,35.970001,36.77,36.69952,9428700.0
2019-09-25,36.549999,36.869999,35.75,36.720001,36.649615999999995,5665200.0
2019-09-26,36.810001,37.27,36.509997999999996,36.57,36.499901,6935100.0
2019-09-27,36.560001,36.84,36.150002,36.799999,36.729462,4086600.0
2019-09-30,36.75,37.220001,36.540001000000004,37.040001000000004,36.969002,5172100.0
2019-10-01,37.150002,37.450001,36.709998999999996,37.450001,37.378215999999995,6463700.0
2019-10-02,37.150002,37.290001000000004,36.27,36.5,36.430035,8871700.0
2019-10-03,36.560001,37.299999,36.049999,37.299999,37.2285,5797500.0
2019-10-04,37.400002,38.919998,37.299999,38.779999,38.705666,14940000.0
2019-10-07,38.599998,39.75,38.16,38.400002,38.326397,9909300.0
2019-10-08,38.639998999999996,38.970001,37.860001000000004,38.0,38.0,10663300.0
2019-10-09,38.299999,39.68,38.279999,39.650002,39.650002,8973400.0
2019-10-10,39.700001,39.98,38.799999,38.939999,38.939999,7602600.0
2019-10-11,39.48,40.75,39.360001000000004,40.5,40.5,10985200.0
2019-10-14,40.0,42.169998,39.900002,42.169998,42.169998,11031200.0
2019-10-15,42.200001,42.799999,41.23,41.799999,41.799999,9588300.0
2019-10-16,41.610001000000004,42.880001,40.970001,42.759997999999996,42.759997999999996,10302800.0
2019-10-17,42.700001,44.349998,42.599998,43.169998,43.169998,13354000.0
2019-10-18,43.439999,43.950001,42.349998,43.0,43.0,7146100.0
2019-10-21,43.349998,43.549999,42.419998,43.099998,43.099998,6180400.0
2019-10-22,43.189999,43.98,43.169998,43.720001,43.720001,5996400.0
2019-10-23,43.59,43.990002000000004,42.919998,43.490002000000004,43.490002000000004,8091400.0
2019-10-24,43.490002000000004,43.950001,43.16,43.25,43.25,5986100.0
2019-10-25,43.380001,43.5,42.0,42.0,42.0,8152100.0
2019-10-28,42.200001,43.18,42.049999,42.669998,42.669998,10587000.0
2019-10-29,43.18,43.389998999999996,40.630001,41.150002,41.150002,12482700.0
2019-10-30,42.860001000000004,44.439999,42.25,44.02,44.02,32093300.0
2019-10-31,43.349998,44.639998999999996,42.57,44.639998999999996,44.639998999999996,23982600.0
2019-11-01,44.950001,47.299999,44.91,47.189999,47.189999,23109600.0
2019-11-04,48.139998999999996,48.790001000000004,44.77,44.970001,44.970001,31343400.0
2019-11-05,45.32,46.279999,43.52,44.040001000000004,44.040001000000004,18187200.0
2019-11-06,44.5,45.299999,43.490002000000004,45.200001,45.200001,11794000.0
2019-11-07,45.610001000000004,45.900002,44.16,44.200001,44.200001,9778700.0
2019-11-08,43.509997999999996,44.790001000000004,42.950001,43.810001,43.810001,10639700.0
2019-11-11,43.5,45.48,43.240002000000004,45.02,45.02,11163900.0
2019-11-12,0.0,0.0,0.0,43.400002,43.400002,0.0
